Guideline URL,Ethnic Group Found,Page Numbers
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Pakistani,[7]
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Bangladeshi,[7]
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Chinese,"[7, 14, 27]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Black,"[7, 14, 19, 27]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,African,"[7, 14, 19, 27]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Caribbean,"[7, 14, 19, 27]"
https://www.sign.ac.uk/media/2357/20251103-type-2-diabetes-prevention-gl-publication-v4.pdf,Arab,"[7, 27]"
https://www.sign.ac.uk/media/2294/type-2-diabetes-consultation-report.pdf,Asian,"[27, 28]"
https://www.sign.ac.uk/media/2294/type-2-diabetes-consultation-report.pdf,Chinese,"[27, 28]"
https://www.sign.ac.uk/media/2294/type-2-diabetes-consultation-report.pdf,Black,"[27, 28]"
https://www.sign.ac.uk/media/2294/type-2-diabetes-consultation-report.pdf,African,"[5, 27, 28]"
https://www.sign.ac.uk/media/2294/type-2-diabetes-consultation-report.pdf,Caribbean,"[27, 28]"
https://www.sign.ac.uk/media/2293/type-2-diabetes-prevention-eqia.pdf,White,[9]
https://www.sign.ac.uk/media/2293/type-2-diabetes-prevention-eqia.pdf,Asian,[9]
https://www.sign.ac.uk/media/2293/type-2-diabetes-prevention-eqia.pdf,Black,[9]
https://www.sign.ac.uk/media/2293/type-2-diabetes-prevention-eqia.pdf,African,[9]
https://www.sign.ac.uk/media/2293/type-2-diabetes-prevention-eqia.pdf,Caribbean,[9]
https://www.sign.ac.uk/media/2295/sign-172-summary-of-adaptations.pdf,Asian,"[4, 7, 12, 21, 22, 34, 35]"
https://www.sign.ac.uk/media/2295/sign-172-summary-of-adaptations.pdf,Chinese,"[4, 7, 12, 21, 22, 34, 35]"
https://www.sign.ac.uk/media/2295/sign-172-summary-of-adaptations.pdf,Black,"[4, 34, 35]"
https://www.sign.ac.uk/media/2295/sign-172-summary-of-adaptations.pdf,African,"[4, 34, 35]"
https://www.sign.ac.uk/media/2295/sign-172-summary-of-adaptations.pdf,Caribbean,"[4, 34, 35]"
https://www.sign.ac.uk/media/2295/sign-172-summary-of-adaptations.pdf,Arab,[34]
https://www.sign.ac.uk/media/1085/sign149.pdf,White,"[14, 20, 31, 36, 111]"
